application_date,gender,purpose_of_loan,employment_status,loan_type,property_ownership_status,monthly_income,debt_to_income_ratio,cibil_score,interest_rate_offered,loan_amount_requested,number_of_dependents,loan_tenure_months,applicant_age,existing_emis_monthly
2026-12-28,Male,Wedding,Salaried,Personal Loan,Rented,37991.33120291057,1.0476877425270672,563,14.239648298215211,178736.72702839092,3,120,43,7547.983149570175
2026-12-06,Female,Education,Student,Business Loan,Rented,23579.506628358933,22.4823427498483,589,14.274123796316657,239418.72111163798,2,120,45,5260.238150418634
2026-12-07,Male,Vehicle Purchase,Unemployed,Education Loan,Rented,53697.28501791488,20.606082346105506,707,12.443759463748039,137973.71563418454,2,24,32,10916.591044446002
2026-12-26,Female,Home Renovation,Business Owner,Education Loan,Rented,60204.53183432124,5.242629260352361,645,11.297120000158184,199310.04341613041,2,12,43,7095.10074425983
2026-12-01,Male,Debt Consolidation,Unemployed,Personal Loan,Rented,10444.209148894708,23.1385016276722,620,17.051893505089012,100000.0,1,120,40,6025.30445512229
2026-12-24,Male,Business Expansion,Retired,Home Loan,Rented,43747.96514061768,3.8439466409497687,600,17.47723807255129,188395.08469184453,0,60,22,8518.037328410957
2026-12-22,Female,Vehicle Purchase,Retired,Car Loan,Owned,45064.10636463856,23.51850916245752,669,11.498044876382895,226704.7144909709,2,120,36,3284.7183826944747
2026-12-21,Female,Wedding,Self-Employed,Business Loan,Jointly Owned,41028.170354340305,4.533355619168294,621,13.087793606394454,113254.79594351217,2,120,41,10602.343403214772
2026-12-21,Female,Business Expansion,Salaried,Home Loan,Rented,20239.984047883372,3.111874467906322,709,15.238185352734963,190869.1074047808,3,36,48,4274.997250002092
2026-12-09,Male,Vehicle Purchase,Retired,Car Loan,Rented,25672.400947847862,13.214819410376286,559,14.57053005802697,160861.13148515002,2,24,61,7947.707306230744
2026-12-10,Male,Wedding,Retired,Personal Loan,Rented,10000.0,11.376753011355238,605,17.463050084098295,147502.9962478454,2,12,34,1315.1003179829381
2026-12-24,Female,Business Expansion,Student,Car Loan,Jointly Owned,17269.16670901505,6.139972106778055,732,14.867246355701685,100000.0,3,12,35,6895.436850072387
2026-12-03,Female,Education,Self-Employed,Personal Loan,Rented,62013.88850000294,23.55565496369948,634,14.18091884573062,100000.0,2,60,35,5216.439660168178
2026-12-22,Female,Medical Emergency,Self-Employed,Business Loan,Rented,12680.02961513005,26.11945414150937,517,9.032847407936213,169772.93023353268,1,24,25,7920.100542764258
2026-12-10,Male,Medical Emergency,Unemployed,Home Loan,Rented,52690.38249305143,0.8226698353103714,764,8.964357606489086,142639.69209195976,0,60,41,4310.229867232478
2026-12-13,Female,Vehicle Purchase,Retired,Personal Loan,Rented,40497.34273138808,4.807839299977793,651,11.960257377285176,165993.01058537516,1,24,39,4560.936851139746
2026-12-08,Female,Wedding,Self-Employed,Education Loan,Owned,28989.139659290136,37.36331466700212,683,12.455484143430843,219482.18891241722,3,120,31,10562.27476881078
2026-12-19,Female,Wedding,Retired,Education Loan,Rented,32528.38381971085,8.346893740754638,567,13.873394997121485,100000.0,2,36,44,0.0
2026-12-15,Male,Vehicle Purchase,Retired,Education Loan,Jointly Owned,50951.213249248685,30.0967554154468,586,15.797100160361788,219366.45278472325,4,12,23,10069.381798781276
2026-12-21,Female,Medical Emergency,Self-Employed,Business Loan,Rented,16102.092393643703,3.69272443292879,608,13.268354497561237,100000.0,3,360,22,10512.415205553612
2026-12-23,Male,Vehicle Purchase,Student,Education Loan,Rented,27609.069645417043,2.9767333968084326,563,12.215203550359995,139826.80566940553,4,360,45,5661.161277081085
