application_date,gender,purpose_of_loan,employment_status,loan_type,property_ownership_status,monthly_income,debt_to_income_ratio,cibil_score,interest_rate_offered,loan_amount_requested,number_of_dependents,loan_tenure_months,applicant_age,existing_emis_monthly
2026-02-16,Male,Wedding,Unemployed,Business Loan,Owned,37134.63547373544,3.5377447283040055,636,13.72918488748069,196557.4265686232,3,48,54,5395.386480797525
2026-02-22,Female,Wedding,Unemployed,Business Loan,Owned,56528.750107171385,31.89705017076221,673,15.55264347450062,100000.0,2,24,47,8118.918844113559
2026-02-20,Male,Business Expansion,Retired,Car Loan,Owned,37446.06691470527,19.286948000163903,661,9.801624864997045,107345.71013188249,2,48,32,10444.355248431788
2026-02-05,Female,Business Expansion,Business Owner,Personal Loan,Jointly Owned,68136.1820259701,20.630071907327583,698,9.741698167133471,230710.61277566326,0,48,29,7668.519178476376
2026-02-10,Female,Vehicle Purchase,Unemployed,Business Loan,Rented,34119.22891892234,26.528421541846512,664,8.284434174378333,100000.0,4,360,30,3221.694029939296
2026-02-18,Female,Education,Business Owner,Business Loan,Jointly Owned,51212.15919037651,12.78673371495073,653,8.858530043420753,168046.22481946647,2,120,43,0.0
2026-02-11,Male,Business Expansion,Self-Employed,Education Loan,Owned,45136.12353893788,1.7198585313447783,709,11.338679404352794,112205.38812234753,2,60,50,10603.876916060042
2026-02-07,Male,Wedding,Unemployed,Car Loan,Owned,53827.202377387504,2.4052433601099805,866,16.322384741448893,104800.79150481595,3,24,25,2475.1767541270688
2026-02-14,Female,Wedding,Self-Employed,Business Loan,Owned,55332.81223401954,0.0,745,12.350849296093635,149066.03828399917,1,36,29,5437.849871471456
2026-02-20,Male,Debt Consolidation,Retired,Business Loan,Owned,74777.94518085472,20.735121553215308,556,9.699653675018748,259568.31479058016,4,24,38,4649.271052974475
2026-02-18,Female,Vehicle Purchase,Salaried,Business Loan,Owned,61347.689457287706,0.0,727,9.468181984039862,188404.52162361145,0,360,26,4792.717598247288
2026-02-11,Female,Medical Emergency,Student,Business Loan,Rented,44688.5055088092,39.92515473104052,657,8.870357661769962,100000.0,0,48,33,1501.61234482486
2026-02-22,Female,Education,Retired,Personal Loan,Jointly Owned,60192.94110372513,0.0,623,13.179744146335983,159772.50067192232,3,12,50,10388.25536536274
2026-02-27,Male,Vehicle Purchase,Retired,Home Loan,Jointly Owned,62253.724550788545,26.913568380611444,755,9.921916203984104,100000.0,0,24,45,2375.412827976142
2026-02-12,Female,Home Renovation,Retired,Education Loan,Rented,81674.48818112111,26.99450995616114,705,11.665673016669412,100000.0,2,60,46,5475.969833984785
2026-02-18,Female,Business Expansion,Unemployed,Personal Loan,Rented,48643.00130667179,17.935307747574342,897,9.938132567990104,158456.34115426705,4,12,28,3664.5742592643674
2026-02-26,Male,Debt Consolidation,Self-Employed,Education Loan,Rented,49756.274205049325,32.87858129347528,689,15.825106279445404,185747.3343391172,0,36,21,6841.065075342279
2026-02-02,Male,Wedding,Student,Business Loan,Jointly Owned,70684.48944423313,5.62647637080887,680,9.194529086223849,228050.8997805238,4,36,33,4372.331348546857
2026-02-23,Male,Debt Consolidation,Unemployed,Education Loan,Jointly Owned,21022.18985600187,10.494011603290133,794,8.771610921770197,168645.92780704214,0,12,21,4060.5430434412187
2026-02-01,Male,Medical Emergency,Salaried,Car Loan,Owned,47930.43027490871,11.936397917312,700,9.325699008226575,150319.63515433305,1,360,42,8261.542373224984
2026-02-23,Female,Vehicle Purchase,Student,Car Loan,Jointly Owned,61414.997605260854,17.421805538315333,614,11.59002472982496,133055.21625437905,1,36,45,4029.6981979338834
2026-02-10,Female,Debt Consolidation,Retired,Home Loan,Jointly Owned,66708.19237433636,0.0,628,14.11673642688626,176390.00582254337,4,12,30,9232.854443416036
2026-02-21,Female,Vehicle Purchase,Business Owner,Home Loan,Rented,17859.727721160285,6.977952129462062,672,11.595418949708296,100000.0,1,48,43,1299.6993113738286
2026-02-01,Female,Business Expansion,Salaried,Education Loan,Jointly Owned,30925.986428421103,21.443540727319697,751,12.296439449952649,116086.10043894469,1,12,43,4251.8450874239015
2026-02-06,Female,Business Expansion,Self-Employed,Personal Loan,Owned,13609.646679989957,2.991263587654557,800,11.948951126638018,100000.0,2,48,26,2420.887942814747
2026-02-07,Female,Wedding,Salaried,Personal Loan,Jointly Owned,64094.08515788285,37.96364738841997,763,6.3674584198462245,123791.0087517896,0,360,34,5092.411968079706
2026-02-17,Male,Debt Consolidation,Unemployed,Business Loan,Rented,54066.85032076647,10.49046825416799,744,10.48965492866092,113761.76596401157,1,60,33,880.1350325970352
2026-02-09,Female,Business Expansion,Business Owner,Personal Loan,Rented,72285.20733236361,16.287825614883516,786,9.737273385455792,110375.38388372667,4,60,47,6858.608626357947
