application_date,gender,purpose_of_loan,employment_status,loan_type,property_ownership_status,monthly_income,debt_to_income_ratio,cibil_score,interest_rate_offered,loan_amount_requested,number_of_dependents,loan_tenure_months,applicant_age,existing_emis_monthly
2026-08-10,Female,Wedding,Retired,Education Loan,Owned,42033.17978116837,3.6391595564390418,674,17.8907917082553,164332.20205187233,2,120,44,2004.2691867739572
2026-08-03,Female,Vehicle Purchase,Unemployed,Home Loan,Owned,35334.39616997163,22.399800410901545,562,13.24163036577641,170920.64906022322,0,120,38,9871.260672775214
2026-08-05,Female,Education,Salaried,Business Loan,Rented,10000.0,36.42694534295599,784,13.293939227950935,159377.66639360852,3,12,30,5142.801695510412
2026-08-11,Female,Education,Business Owner,Personal Loan,Jointly Owned,20831.526495015547,2.331497708342525,667,15.556498564149166,147891.4261405196,2,36,42,6833.606333373496
2026-08-24,Female,Home Renovation,Unemployed,Personal Loan,Owned,32105.55230101128,34.67045096713588,646,11.137848683954516,121105.33875521911,3,12,23,3761.034026519907
2026-08-07,Male,Debt Consolidation,Student,Car Loan,Jointly Owned,38685.50207931358,0.0,701,12.181732991827698,229405.47461001796,4,12,57,9485.718178208183
2026-08-26,Female,Education,Business Owner,Car Loan,Jointly Owned,49428.66834436171,36.745700925203444,579,17.173822600945734,160706.062244136,1,24,21,693.1399444643839
2026-08-18,Male,Business Expansion,Salaried,Personal Loan,Owned,20479.392961126818,41.810628848865534,571,13.426446831483867,100000.0,1,48,40,0.0
2026-08-26,Female,Home Renovation,Self-Employed,Business Loan,Owned,27229.74250785822,27.99643304022266,600,11.489091091290813,100000.0,1,12,38,5386.793196645605
2026-08-09,Male,Vehicle Purchase,Retired,Personal Loan,Owned,47254.8773456623,21.076742613554046,549,13.937175568536894,209844.88168182434,4,36,44,2649.9505193045593
2026-08-12,Female,Wedding,Retired,Car Loan,Rented,49673.9746752675,27.85705607294098,639,13.857921921114329,100000.0,4,60,43,4424.080739930196
2026-08-10,Male,Debt Consolidation,Business Owner,Car Loan,Jointly Owned,29149.91397965521,9.449006861451695,467,16.841469907495167,159294.48850044853,0,48,42,2641.0224650019904
2026-08-20,Female,Medical Emergency,Unemployed,Education Loan,Jointly Owned,26008.579647727183,0.0,591,16.21944219898223,100000.0,2,24,44,1340.4977367061838
2026-08-06,Male,Vehicle Purchase,Self-Employed,Car Loan,Owned,41498.38658654741,3.4022333409373537,472,14.011809784297618,157172.19636057015,2,120,43,6024.251548427752
2026-08-02,Male,Vehicle Purchase,Student,Education Loan,Rented,10000.0,48.82621930877325,609,17.644594002797042,165605.51613963253,2,120,21,0.0
2026-08-27,Female,Wedding,Business Owner,Business Loan,Rented,33797.397753862286,0.0,612,16.689978724700353,190032.54877235024,3,360,43,4636.9321205887145
2026-08-21,Male,Debt Consolidation,Student,Car Loan,Owned,33596.34271603406,28.88827546215321,723,14.393826412970581,145425.0504543448,4,60,30,6328.089658168403
2026-08-22,Female,Medical Emergency,Retired,Car Loan,Rented,26981.83031395832,12.835262907521074,652,11.38373979171299,145618.45124215112,4,12,32,4994.953437551615
2026-08-02,Female,Business Expansion,Business Owner,Personal Loan,Rented,41074.19227401841,9.142720125208061,567,17.97754396750223,100000.0,4,12,49,6206.018777571687
2026-08-01,Male,Home Renovation,Business Owner,Car Loan,Owned,50378.105709113115,39.83456033735347,599,16.670630493049973,137260.08033995313,1,12,27,3444.891247914191
2026-08-15,Female,Debt Consolidation,Retired,Business Loan,Rented,19360.70339929939,15.89105685645172,744,10.47189597537663,151907.84940017003,3,48,47,5805.068466935818
2026-08-14,Male,Wedding,Self-Employed,Home Loan,Jointly Owned,23080.273768915325,28.490408061449102,542,12.013223957199186,152061.52451655467,4,360,21,3132.4235030820346
2026-08-26,Male,Medical Emergency,Business Owner,Personal Loan,Jointly Owned,43991.60682146126,50.485529024907166,801,10.165912027868918,141595.0789772388,4,120,30,5872.664364112464
2026-08-11,Female,Education,Student,Business Loan,Jointly Owned,12215.421247241622,11.364059221089823,663,10.81590305444816,100000.0,2,12,35,0.0
2026-08-27,Male,Business Expansion,Unemployed,Education Loan,Rented,26013.629358572813,21.6028649272643,526,16.67164689839938,100000.0,2,60,43,6267.63959628235
2026-08-03,Male,Business Expansion,Unemployed,Personal Loan,Owned,66524.14907677725,25.06797175589315,547,13.725120844576693,225377.50287962361,4,60,40,3260.650315750279
2026-08-27,Male,Home Renovation,Salaried,Car Loan,Owned,36837.01289430684,9.665508223982858,696,11.83845334859608,179426.81806911415,1,360,43,4256.695537908443
2026-08-02,Female,Home Renovation,Salaried,Personal Loan,Jointly Owned,29741.834996587335,21.880794717433133,689,15.389641136484284,267939.5010063696,4,12,65,6565.515731358437
2026-08-12,Female,Home Renovation,Salaried,Education Loan,Rented,10000.0,31.419766433210633,664,15.60185164267771,170065.2451862825,2,48,37,10561.458896258388
2026-08-22,Male,Wedding,Unemployed,Home Loan,Rented,10000.0,26.238377753643384,639,16.840201789490905,183296.77015861572,3,120,42,5891.366085324346
2026-08-27,Male,Home Renovation,Self-Employed,Car Loan,Jointly Owned,49948.56225254201,16.254176209890904,621,15.02483879541029,104726.18321296197,1,36,49,4799.495838045353
2026-08-31,Female,Education,Business Owner,Business Loan,Owned,16548.53460294294,0.0,567,15.101031425978231,223432.2869691871,0,60,41,5226.057628223959
2026-08-19,Female,Business Expansion,Unemployed,Home Loan,Rented,34682.2821232323,0.0,661,11.442403691444772,100000.0,3,24,24,4276.901196582998
2026-08-02,Female,Education,Salaried,Education Loan,Jointly Owned,53115.79050013216,42.01888609332428,759,13.744226802735371,182278.86489373568,3,48,25,8500.916865788664
2026-08-29,Female,Home Renovation,Salaried,Home Loan,Owned,26529.446532555015,0.17855457707682554,627,13.422149744745765,155562.52767258824,1,36,45,4748.053259487442
2026-08-14,Male,Debt Consolidation,Business Owner,Business Loan,Rented,27105.07253951926,32.01680443378158,650,7.632137541601091,222953.13854031212,1,24,43,3358.996277398308
2026-08-23,Male,Wedding,Salaried,Business Loan,Jointly Owned,44441.43808505798,0.0,712,14.394675345494928,143459.93300365531,4,60,40,6327.393668645942
2026-08-17,Male,Wedding,Student,Personal Loan,Rented,54322.89390666933,0.048992848411254286,588,9.229632308004447,151921.16245555648,0,48,46,9315.524838285008
2026-08-09,Female,Medical Emergency,Retired,Home Loan,Rented,46703.64436245551,24.700614483451083,662,15.301997571950205,100000.0,1,48,33,2297.8702113312133
2026-08-15,Male,Debt Consolidation,Self-Employed,Personal Loan,Owned,56054.97876857718,37.81415424270055,693,12.535506389504366,100000.0,1,120,21,10135.934761763066
2026-08-01,Male,Business Expansion,Retired,Car Loan,Owned,10000.0,24.26058977883938,571,12.578380947374267,168467.23910476107,3,60,45,2600.5231054896444
2026-08-05,Female,Business Expansion,Unemployed,Education Loan,Rented,40320.42545820315,19.848758190308487,526,12.2469167379314,206937.18651539308,4,48,32,6222.661667644236
2026-08-07,Male,Education,Business Owner,Car Loan,Owned,53262.063240813506,0.0,611,11.975576670368646,164488.4230321518,4,60,53,7006.817355397717
2026-08-10,Female,Medical Emergency,Self-Employed,Business Loan,Jointly Owned,40754.55047854365,0.0,698,12.928340766203082,143244.88254156552,2,360,52,9301.42961629471
2026-08-21,Male,Home Renovation,Student,Business Loan,Owned,31841.150912526267,8.013660034904845,512,15.818447440913118,165399.32494361742,0,48,38,5593.869083275663
2026-08-03,Male,Home Renovation,Self-Employed,Business Loan,Jointly Owned,15624.696798219997,16.81822146546477,649,10.789350948199889,159915.29164158308,2,60,49,4255.532430786192
2026-08-18,Female,Debt Consolidation,Retired,Business Loan,Jointly Owned,22996.454121676717,13.722980471985037,615,13.527932913338663,183118.3486482966,4,48,37,7906.159263188359
2026-08-02,Male,Wedding,Student,Home Loan,Rented,56493.847141001854,47.66248879514468,612,18.778299213433424,101890.24658021846,3,360,29,5991.103376722691
2026-08-09,Male,Medical Emergency,Student,Home Loan,Owned,33457.04456584438,0.0,654,11.821090854920897,162796.56407676707,3,12,39,6163.26996943298
2026-08-11,Male,Education,Salaried,Business Loan,Owned,24546.577156102474,9.929728243185938,494,13.459727435776465,100000.0,0,12,38,3108.957161046561
2026-08-16,Male,Home Renovation,Student,Car Loan,Jointly Owned,10734.458236960585,39.55534765505071,725,15.603839981169468,205165.4256284139,4,120,42,4617.358622072284
2026-08-22,Male,Business Expansion,Student,Education Loan,Owned,40988.460004382876,24.26206135486715,558,18.96133690157589,100000.0,3,36,35,4358.612210884403
