application_date,gender,purpose_of_loan,employment_status,loan_type,property_ownership_status,monthly_income,debt_to_income_ratio,cibil_score,interest_rate_offered,loan_amount_requested,number_of_dependents,loan_tenure_months,applicant_age,existing_emis_monthly
2026-04-13,Female,Home Renovation,Business Owner,Home Loan,Rented,64196.26721561772,12.119475674714824,555,11.6434614096464,109983.74070804371,2,120,45,6458.719500673415
2026-04-07,Female,Vehicle Purchase,Salaried,Education Loan,Owned,47711.01142499669,31.50826925265739,445,8.138252130455799,100000.0,0,48,35,3573.307822275908
2026-04-13,Male,Debt Consolidation,Retired,Car Loan,Rented,36990.842839271485,22.81508798241154,818,11.057693357697444,187469.13866071915,2,60,21,8362.617748377867
2026-04-07,Female,Education,Business Owner,Education Loan,Owned,68414.3741442166,8.885151020114641,680,10.647946159374278,114065.16357439093,3,120,42,0.0
2026-04-08,Female,Medical Emergency,Student,Education Loan,Jointly Owned,43418.99100112155,0.0,722,11.393331205535327,100000.0,0,360,28,6301.367814913244
2026-04-18,Male,Education,Business Owner,Home Loan,Rented,60655.13788569878,36.113727655296046,643,9.670958566944256,208028.47855752992,2,120,39,7523.884952346962
2026-04-17,Male,Debt Consolidation,Self-Employed,Education Loan,Owned,57414.85844102065,10.33367976386463,584,7.794726773325573,175245.72972889105,3,360,22,4729.1252932964635
2026-04-16,Female,Business Expansion,Retired,Car Loan,Rented,52885.70146487512,0.37369408697399464,655,14.859736041030983,184886.38626505993,3,360,38,2833.124705741999
2026-04-28,Male,Debt Consolidation,Salaried,Personal Loan,Jointly Owned,71217.1415224648,16.48194512885527,617,8.776820520524897,187956.5943685173,0,24,36,4888.822931840863
2026-04-17,Male,Business Expansion,Salaried,Business Loan,Owned,56043.76906466927,0.0,747,15.365455404066129,198522.508532815,0,24,21,2727.2149078556263
2026-04-08,Male,Debt Consolidation,Self-Employed,Car Loan,Rented,60417.55009315866,18.98071359862616,725,7.183275755369479,175157.19225322246,0,120,54,6542.781973049432
2026-04-07,Female,Education,Student,Home Loan,Owned,57062.49201825388,17.702300554778475,751,7.995265236210937,100000.0,3,24,34,7837.200973978922
2026-04-25,Female,Debt Consolidation,Unemployed,Personal Loan,Jointly Owned,52142.99503651248,13.832706666586876,729,6.042330826282063,100000.0,0,12,35,6340.069345905967
2026-04-18,Male,Vehicle Purchase,Self-Employed,Home Loan,Owned,45284.79804048606,22.661415364467324,543,10.737756770885523,200340.1158895979,0,60,43,6161.406650967934
2026-04-04,Male,Medical Emergency,Retired,Car Loan,Owned,50707.98312574914,12.79077958029939,669,12.157924241865476,178713.40782825745,3,360,37,7280.952670426963
2026-04-24,Male,Medical Emergency,Unemployed,Business Loan,Rented,60265.06813574575,17.55096628234807,633,6.84321464163509,143468.4667285384,3,120,41,7627.667919766758
2026-04-22,Male,Home Renovation,Retired,Education Loan,Owned,58062.729064775776,18.793308460459087,712,10.604227516149667,100000.0,0,12,26,2665.1788714384993
2026-04-02,Female,Wedding,Salaried,Education Loan,Jointly Owned,59957.45260799261,24.218622881174397,646,9.501050213811585,108018.62984105902,0,60,36,386.0201701176011
2026-04-16,Male,Vehicle Purchase,Unemployed,Home Loan,Rented,107643.6577691802,3.6528639984319033,723,5.332986671148566,134751.09701917437,0,48,21,5833.659971762015
2026-04-26,Male,Medical Emergency,Retired,Personal Loan,Owned,43484.42669476616,15.168477741528058,727,10.27200695084762,112248.64583747985,3,60,35,7773.157093282303
2026-04-18,Female,Medical Emergency,Salaried,Business Loan,Jointly Owned,27228.18876441552,1.6607455086797183,678,12.830981248678418,100000.0,4,360,52,257.30465496667057
2026-04-23,Male,Business Expansion,Retired,Home Loan,Jointly Owned,44863.624627061545,13.260235439429632,721,14.193459923075025,166668.84564263202,1,12,22,5206.496229049083
2026-04-25,Female,Vehicle Purchase,Unemployed,Business Loan,Owned,45659.65424451595,8.292449983544172,729,6.359694720293826,223421.58631623397,2,24,34,8385.007039183853
2026-04-08,Female,Education,Salaried,Home Loan,Owned,57595.90417226652,0.0,708,13.085580777729465,182049.92766343558,1,12,21,4650.6257114900745
2026-04-14,Male,Education,Retired,Personal Loan,Rented,47215.32979849519,17.027526646537623,727,12.532526412832341,126280.0499429066,3,48,38,9563.402884219053
2026-04-18,Male,Business Expansion,Business Owner,Car Loan,Jointly Owned,61979.067767599474,0.0,751,9.603110873913609,146680.27566184622,4,24,42,9001.516772435993
