application_date,gender,purpose_of_loan,employment_status,loan_type,property_ownership_status,monthly_income,debt_to_income_ratio,cibil_score,interest_rate_offered,loan_amount_requested,number_of_dependents,loan_tenure_months,applicant_age,existing_emis_monthly
2026-07-21,Female,Home Renovation,Unemployed,Business Loan,Jointly Owned,46700.02507416602,7.187139073858154,676,16.999026735332233,100000.0,0,48,35,7520.301559156158
2026-07-10,Female,Wedding,Business Owner,Home Loan,Rented,10000.0,0.0,710,13.50405055447304,128778.71532064436,2,24,32,0.0
2026-07-16,Female,Debt Consolidation,Student,Business Loan,Owned,30107.620756184588,7.964803292379711,657,11.530215018220511,100000.0,1,48,37,1101.199419788074
2026-07-09,Female,Vehicle Purchase,Unemployed,Business Loan,Owned,48162.682281872054,0.0,593,12.613185661885842,146643.81306813977,1,360,33,7379.195734050842
2026-07-20,Female,Business Expansion,Retired,Personal Loan,Rented,26675.510139995058,18.441992842924016,666,14.7947816643009,173218.2558502091,3,360,38,1543.1599882792202
2026-07-02,Male,Education,Salaried,Home Loan,Rented,27775.076994939234,0.0,606,16.0375540716798,130473.05449447806,4,24,36,4231.4521608636305
2026-07-18,Female,Home Renovation,Business Owner,Business Loan,Jointly Owned,27235.399638460476,9.178453212769123,707,13.638077625480918,141799.88212652996,4,120,38,5629.672652157971
2026-07-31,Male,Home Renovation,Business Owner,Home Loan,Owned,37136.55735512311,17.17496057891896,708,12.944730455695394,182235.00751200767,0,36,21,7864.577881849844
2026-07-16,Female,Education,Salaried,Car Loan,Jointly Owned,18396.798658165077,1.8887621375581496,560,15.923211943673959,130390.15706284,0,120,46,4080.689543824882
2026-07-26,Female,Home Renovation,Self-Employed,Business Loan,Rented,42386.8073086348,33.65242170717754,503,11.05830042587661,217972.1574241432,3,12,32,6477.195295867966
2026-07-20,Male,Education,Salaried,Car Loan,Jointly Owned,50637.950220050916,11.845045262201168,565,13.544433371580741,187035.49215095068,4,36,47,1281.4141249357072
2026-07-23,Female,Medical Emergency,Salaried,Personal Loan,Jointly Owned,61971.939273723474,2.486856137139416,738,16.32025139140071,160683.05342524056,1,48,59,6766.615905609921
2026-07-14,Female,Wedding,Salaried,Personal Loan,Owned,28151.034683960595,13.957253896583381,801,13.768259247958701,148950.30657539822,1,120,23,2273.7243008274727
2026-07-30,Male,Business Expansion,Self-Employed,Home Loan,Owned,55396.79607324241,44.323315076358895,492,13.092197563202092,165041.45531655764,2,24,38,858.0455804847779
2026-07-21,Male,Debt Consolidation,Business Owner,Personal Loan,Owned,33398.45797508525,6.197663130052199,711,10.301278946691877,204089.64158898295,1,12,33,11195.582644051505
2026-07-23,Female,Home Renovation,Student,Business Loan,Jointly Owned,29142.878788858616,0.0,567,12.390218578526042,145502.24179604428,4,60,41,10489.982085724434
2026-07-12,Female,Wedding,Unemployed,Home Loan,Jointly Owned,36578.25822273853,15.82038469393569,585,13.852121373037969,189367.98324425274,2,12,21,5444.386047033303
2026-07-04,Female,Medical Emergency,Salaried,Car Loan,Rented,35078.332865954755,17.83809655749245,729,15.853324252748195,182677.60665457157,0,60,34,9641.370097636063
2026-07-17,Male,Education,Self-Employed,Education Loan,Rented,38647.6617208083,23.059733739577158,659,10.166833773298247,100000.0,3,12,29,4022.740382102189
2026-07-31,Male,Debt Consolidation,Unemployed,Personal Loan,Rented,10202.740490582659,0.0,713,11.846765613655903,216806.69062755903,4,24,54,4591.941835013903
2026-07-28,Female,Education,Student,Business Loan,Rented,35939.9070105857,49.742631055766935,597,12.678438297486853,141178.46755154993,1,360,56,4470.392408902211
2026-07-20,Male,Education,Student,Car Loan,Rented,24974.335938702236,3.676600302826742,719,14.256094219378308,100000.0,2,360,35,2259.8312010915356
2026-07-21,Male,Wedding,Unemployed,Education Loan,Rented,61729.89842331475,48.88902656093329,608,11.510525074659098,199459.07114182148,1,48,26,0.0
2026-07-22,Male,Education,Business Owner,Home Loan,Rented,22341.20620329934,0.8947663103424031,632,12.189205394141519,147187.5849954638,0,24,29,4072.1127044809527
2026-07-20,Male,Home Renovation,Student,Business Loan,Owned,24625.65737169086,0.0,675,17.25115173294943,100611.16184643202,1,12,38,8907.222490308406
2026-07-07,Female,Medical Emergency,Retired,Education Loan,Rented,25625.304168140763,23.486109500539488,600,13.922304923586966,189988.38902514268,1,60,23,5827.460326500251
2026-07-28,Male,Home Renovation,Unemployed,Business Loan,Jointly Owned,30345.218410369445,3.92282452355826,791,12.577431610125911,144303.89969784082,3,24,43,7443.5905897412795
2026-07-04,Female,Debt Consolidation,Salaried,Car Loan,Jointly Owned,43700.441877146804,23.79480142293681,559,14.885108615177206,146082.74899074822,1,360,36,6179.295264813188
2026-07-15,Female,Medical Emergency,Unemployed,Car Loan,Jointly Owned,22685.495726847726,26.637485500926353,688,9.849879835058942,171149.84151578925,3,360,41,2460.318114941698
2026-07-31,Female,Debt Consolidation,Retired,Personal Loan,Owned,43606.03547073853,0.0,593,12.503079466316183,100000.0,2,24,41,5744.677577180157
2026-07-14,Female,Home Renovation,Retired,Car Loan,Jointly Owned,19217.414129626493,11.64483282341417,695,11.715614986412533,170590.6681836786,0,60,51,4003.030516770425
2026-07-20,Male,Vehicle Purchase,Business Owner,Home Loan,Jointly Owned,47422.564637583695,23.238757790097374,645,11.855057341799316,192052.28919357885,3,36,44,1812.3666948746059
2026-07-22,Female,Business Expansion,Self-Employed,Home Loan,Owned,51487.874668290286,33.87317088759502,695,11.441145121117401,157647.7821060815,1,12,40,7758.686223656938
2026-07-31,Female,Business Expansion,Student,Business Loan,Jointly Owned,13163.605747012825,1.837116302032447,556,13.076442256139785,155048.3663180015,2,24,40,1084.1497499180955
2026-07-01,Male,Wedding,Student,Home Loan,Owned,27536.153475541123,5.798499086029741,634,13.012238364196962,224759.20550141373,3,360,21,3022.956178193359
2026-07-09,Female,Wedding,Student,Car Loan,Jointly Owned,46249.119885489854,18.6166806576544,607,12.253910119051607,100000.0,3,24,39,11650.933969842146
2026-07-22,Female,Medical Emergency,Business Owner,Education Loan,Jointly Owned,22367.27551514707,1.5455243467661521,573,9.2368918960156,181227.17443116877,2,12,44,7104.495688738889
2026-07-04,Male,Business Expansion,Student,Home Loan,Rented,41649.494919365876,7.850723302291329,600,11.539309341814025,167842.23163495376,0,60,36,5735.176988896752
2026-07-30,Female,Education,Retired,Car Loan,Jointly Owned,22973.959235947856,0.0,605,12.011880561845885,100000.0,2,12,54,0.0
2026-07-20,Female,Business Expansion,Self-Employed,Car Loan,Rented,44140.14769604369,5.97359384726118,636,10.046108077221364,149451.11010241802,0,48,23,4646.26741073525
2026-07-09,Male,Business Expansion,Student,Business Loan,Rented,38889.415352952274,27.472835694987083,598,16.931668396740456,191198.20957606417,0,48,30,1506.378537074792
2026-07-09,Female,Education,Student,Business Loan,Jointly Owned,48409.8139599402,28.148795466756987,546,9.61283894010947,180556.0303760149,1,120,31,4766.087570612618
2026-07-22,Male,Education,Student,Home Loan,Jointly Owned,38461.44485569694,0.0,699,17.497653617585144,142988.5107453159,3,24,38,4428.93980212054
2026-07-12,Male,Debt Consolidation,Student,Home Loan,Owned,47279.432776866925,55.05994353203479,620,9.01066097323815,118140.43808872372,2,48,31,2430.054471567402
2026-07-28,Male,Home Renovation,Student,Car Loan,Rented,38614.0906083576,27.968169116406127,598,10.371237187087608,156310.86384968387,0,360,25,8517.353559841988
2026-07-16,Male,Medical Emergency,Business Owner,Home Loan,Jointly Owned,37824.53489172087,8.60796884948555,618,12.645365193286125,142564.8279148341,2,12,34,7864.609230006433
2026-07-05,Female,Education,Salaried,Education Loan,Rented,64157.78107038599,4.29458003329929,637,16.091355421676692,170170.6934731877,3,24,48,1622.1095401157477
2026-07-17,Female,Medical Emergency,Unemployed,Personal Loan,Rented,28593.612687514287,19.047548951263256,505,11.56803987511546,116275.22495387003,2,48,45,9722.214870638707
2026-07-25,Female,Debt Consolidation,Salaried,Personal Loan,Jointly Owned,33946.157907874775,13.236447638097395,400,19.405759237537655,142594.4734949738,4,60,31,1551.1026724545877
2026-07-06,Male,Wedding,Salaried,Car Loan,Jointly Owned,26989.50444097384,5.285022869861068,761,10.280890811780958,198346.6652166828,2,48,34,9992.711531058714
2026-07-09,Male,Business Expansion,Unemployed,Personal Loan,Rented,29252.581580299637,1.0833662686443422,618,14.477769968630021,210400.7517313989,0,60,30,4367.318921214655
2026-07-11,Male,Home Renovation,Student,Car Loan,Jointly Owned,30459.509367199487,7.6582132287207205,639,14.070586906550512,101640.78643714468,1,48,25,3798.533971316432
2026-07-02,Male,Wedding,Unemployed,Car Loan,Rented,37410.128797820835,30.374279306418128,702,11.097984150941738,100000.0,4,60,42,9467.06382002262
2026-07-31,Male,Wedding,Student,Education Loan,Owned,31536.658614074844,29.85246053001463,556,10.180610045488024,100000.0,1,12,25,4507.511578468603
2026-07-24,Female,Home Renovation,Retired,Business Loan,Owned,43915.43547725876,41.571107778311145,542,13.647686160163273,131425.56839932333,1,12,44,8292.802871668524
2026-07-07,Male,Education,Unemployed,Home Loan,Jointly Owned,31528.45183624397,28.558937285513515,659,13.814609777162127,236882.70582159655,3,36,56,1096.63906049664
2026-07-17,Female,Business Expansion,Salaried,Education Loan,Rented,44685.719716715044,22.598995860076812,657,9.990984408501799,177508.8832996225,1,12,41,5085.473011697307
2026-07-11,Female,Home Renovation,Student,Business Loan,Owned,46820.24041936801,25.212733730607,609,14.928620561077976,193484.37146484756,1,48,44,6423.619497449221
2026-07-22,Male,Wedding,Student,Car Loan,Rented,33061.36173363774,8.750096461451317,638,14.855029901931957,152862.92596811635,2,120,43,8589.199838096953
2026-07-24,Female,Medical Emergency,Unemployed,Education Loan,Jointly Owned,10000.0,19.14397589544827,676,15.474540694738,182822.18291011854,4,24,33,7137.384207977388
2026-07-30,Female,Business Expansion,Retired,Car Loan,Owned,41428.16638247981,15.134999662391568,456,11.04839075235846,125947.91744151979,4,60,41,5134.785462058731
2026-07-10,Male,Wedding,Self-Employed,Personal Loan,Owned,40170.23182671625,11.19605230208623,595,19.353343644416576,158646.2274731378,2,12,41,6420.895694066908
2026-07-26,Female,Vehicle Purchase,Business Owner,Car Loan,Rented,24747.183971510698,2.8071749924038887,621,12.508074693189336,179294.8586129827,0,360,31,2816.7702596259883
2026-07-01,Male,Wedding,Student,Personal Loan,Owned,19187.901823316704,11.853676281625328,441,13.03429899443714,215458.54866758545,4,24,21,6812.200977774998
2026-07-26,Male,Education,Salaried,Car Loan,Rented,30269.946969415218,12.830043377905085,597,10.872990630626813,173838.8704001357,4,360,27,6433.019439926851
2026-07-19,Male,Medical Emergency,Unemployed,Car Loan,Rented,30390.442309469574,8.804203350067192,604,13.517996771844484,149034.17492183432,4,120,28,2667.1885624154643
2026-07-01,Male,Home Renovation,Self-Employed,Business Loan,Jointly Owned,34590.341164657264,27.731022512466154,496,10.840115982601464,100000.0,3,60,43,5369.034924262296
2026-07-20,Male,Medical Emergency,Business Owner,Car Loan,Jointly Owned,33586.61462613262,9.673986979814913,803,13.826112268193771,135513.0286088121,4,60,23,7313.553670265533
2026-07-20,Female,Business Expansion,Business Owner,Car Loan,Owned,33408.03640293574,0.0,623,8.390603794465758,173259.76257017223,0,60,56,12331.53734706037
2026-07-06,Male,Wedding,Student,Car Loan,Jointly Owned,10000.0,0.46186103750910057,792,15.048294142444355,137495.76036907302,4,12,54,8556.539554864448
2026-07-16,Male,Medical Emergency,Business Owner,Home Loan,Owned,49190.82084968246,9.986640176182174,500,9.442304055698838,100000.0,0,60,48,5675.02252634614
2026-07-12,Male,Wedding,Student,Home Loan,Jointly Owned,18273.320147738734,0.30802264070027796,540,14.57507981553799,181044.585217752,4,36,32,5853.855470453715
2026-07-27,Male,Education,Salaried,Education Loan,Jointly Owned,26564.042335812603,15.650132032562222,498,11.887211744429177,147647.2518850806,0,120,21,4564.105534476121
2026-07-11,Male,Home Renovation,Business Owner,Business Loan,Owned,15788.52645606687,24.2937588904078,675,15.342662836402374,112591.69561796598,2,360,46,5334.174457007384
2026-07-22,Male,Medical Emergency,Student,Home Loan,Jointly Owned,68269.66245330276,1.4404595596791392,671,13.668343523083555,100000.0,4,120,30,7328.918837287796
2026-07-18,Female,Medical Emergency,Salaried,Education Loan,Rented,38599.937611147936,29.600401395537983,674,13.826482422640291,151927.69046924816,0,360,45,7254.6550180501545
2026-07-23,Male,Debt Consolidation,Salaried,Education Loan,Jointly Owned,30338.964103860508,0.0,530,16.89615271637541,130229.70917571137,3,12,44,4744.372148644921
2026-07-07,Female,Business Expansion,Retired,Education Loan,Rented,15869.79693984248,16.7148394787902,755,11.811134221742225,275372.67169629026,3,120,33,1701.9645515938792
2026-07-22,Female,Education,Business Owner,Business Loan,Owned,41013.53692626554,0.0,761,10.590075062312927,218925.78301305592,2,24,25,4357.898676854666
2026-07-27,Male,Home Renovation,Unemployed,Personal Loan,Owned,31241.431183951627,36.790453253530345,740,15.33733315333648,100000.0,1,36,39,2492.6376146207785
2026-07-14,Female,Wedding,Student,Business Loan,Jointly Owned,34956.78295181983,18.512903323821558,547,12.946117100054195,209771.84530982948,3,36,22,1353.2527192058883
2026-07-25,Female,Medical Emergency,Self-Employed,Education Loan,Jointly Owned,49381.273264459145,29.402213423508915,752,15.68458826956882,154836.26220849168,4,12,40,6825.37656439215
2026-07-13,Male,Debt Consolidation,Salaried,Car Loan,Jointly Owned,10690.78096845805,25.61764229902295,696,11.114134729917225,202145.95137706914,2,120,42,6036.431156423256
2026-07-20,Female,Business Expansion,Salaried,Education Loan,Jointly Owned,45494.9436832432,43.355623965666624,616,10.498728198105782,285486.0682270245,0,60,31,2243.394599807266
2026-07-08,Female,Education,Retired,Car Loan,Rented,16753.461747051842,12.250764437221648,547,14.306010567587071,124058.20228334925,0,36,22,4026.34105672468
2026-07-14,Male,Debt Consolidation,Salaried,Business Loan,Jointly Owned,45143.9077717965,26.990209266954274,621,11.196584229853565,127870.85004194177,0,48,54,5920.302015236952
2026-07-18,Male,Business Expansion,Student,Personal Loan,Owned,40745.224773156966,9.119698186039727,727,11.02962472154731,102693.24170052589,0,24,32,5772.736652520559
2026-07-26,Male,Vehicle Purchase,Salaried,Home Loan,Jointly Owned,10000.0,1.1818233033897005,681,14.800478460891322,193335.9455937155,4,48,35,6317.891755009687
2026-07-04,Male,Wedding,Unemployed,Home Loan,Jointly Owned,34961.211674848186,17.09446043483945,579,12.033498686632473,190956.85861762415,3,12,48,2713.3606997880015
2026-07-23,Female,Home Renovation,Salaried,Personal Loan,Rented,19928.08656566064,34.191708461897676,633,14.375726048579795,238333.4018407406,0,36,32,6074.110111940065
